"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","tf","sim","t_ne","selalpha","pstar"
"17765",0.01,0.01,"OD",20000,1e-08,1e-08,0.02,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.02_0.10_0.00_160000_0.500000_NA",8,0.12,0.17
"18273",0.01,0,"AP",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.20_0.50_0.25_160000_0.500000_NA",8,0.3625,0.09
"18274",0.01,0,"AP",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.20_0.10_0.25_160000_0.500000_NA",8,0.1525,0.17
"18275",0.01,0,"AP",20000,1e-08,1e-08,0.05,0.02,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.05_0.02_0.25_160000_0.500000_NA",8,0.035125,0.07
"18276",0.01,0,"AP",20000,1e-08,1e-08,0.02,0.05,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.02_0.05_0.25_160000_0.500000_NA",8,0.035125,0.07
"18277",0.01,0,"AP",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.02_0.01_0.25_160000_0.500000_NA",8,0.015025,0.17
"18278",0.01,0.53,"AP",20000,1e-08,1e-08,1,1,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.50_160000_0.500000_NA",8,0.5,0.5
"18279",0.01,0.4,"AP",20000,1e-08,1e-08,1,1,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.25_160000_0.500000_NA",8,1.125,0.5
"18280",0.01,0.2,"AP",20000,1e-08,1e-08,0.5,0.5,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.25_160000_0.500000_NA",8,0.53125,0.5
"18282",0.01,0.2,"AP",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.02_0.02_0.25_160000_0.500000_NA",8,0.02005,0.5
"18283",0.01,0.24,"AP",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.50_160000_0.500000_NA",8,0.02,0.5
"18284",0.01,0.22,"AP",20000,1e-08,1e-08,0.1,0.1,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.10_0.10_0.25_160000_0.500000_NA",8,0.10125,0.5
"18285",0.01,0.21,"AP",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.25_160000_0.500000_NA",8,0.0503125,0.5
"18288",0.01,0.19,"AP",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.01_0.01_0.25_160000_0.500000_NA",8,0.0100125,0.5
"18289",0.01,0.18,"AP",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.50_160000_0.500000_NA",8,0.125,0.5
"18290",0.01,0.17,"AP",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.10_0.10_0.50_160000_0.500000_NA",8,0.005,0.5
"18291",0.01,0.16,"AP",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.50_160000_0.500000_NA",8,0.00125,0.5
"18292",0.01,0.15,"AP",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.25_160000_0.500000_NA",8,0.205,0.5
"18301",0.01,0.05,"AP",20000,1e-08,1e-08,1,0.5,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_1.00_0.50_0.25_160000_0.500000_NA",8,0.8125,0.19
"18305",0.01,0.03,"AP",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.01_0.02_0.25_160000_0.500000_NA",8,0.015025,0.17
"18306",0.01,0.02,"AP",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.10_0.20_0.25_160000_0.500000_NA",8,0.1525,0.17
"18307",0.01,0.02,"AP",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.10_0.05_0.25_160000_0.500000_NA",8,0.075625,0.17
"18308",0.01,0.01,"AP",20000,1e-08,1e-08,0.5,1,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.50_1.00_0.25_160000_0.500000_NA",8,0.8125,0.19
"18309",0.01,0.01,"AP",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.50_0.20_0.25_160000_0.500000_NA",8,0.3625,0.09
"18310",0.01,0.01,"AP",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.05_0.10_0.25_160000_0.500000_NA",8,0.075625,0.17
"18680",0.01,0.42,"SA",20000,1e-08,1e-08,1,1,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.50_160000_0.500000_NA",8,0.5,0.5
"18681",0.01,0.3,"SA",20000,1e-08,1e-08,1,1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.25_160000_0.500000_NA",8,0.625,0.5
"18682",0.01,0.2,"SA",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.25_160000_0.500000_NA",8,0.105,0.5
"18683",0.01,0.2,"SA",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.01_0.01_0.25_160000_0.500000_NA",8,0.0050125,0.5
"18685",0.01,0.24,"SA",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.50_160000_0.500000_NA",8,0.125,0.5
"18686",0.01,0.24,"SA",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.50_160000_0.500000_NA",8,0.00125,0.5
"18687",0.01,0.23,"SA",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.25_160000_0.500000_NA",8,0.0253125,0.5
