"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","tf","sim","t_ne","selalpha","pstar"
"18174",0.01,0.1,"AP",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,0.086207,"0.01_AP_20000_1e-08_1e-08_0.20_0.50_0.25_160000_0.086207_NA",8,0.3625,0.09
"18175",0.01,0.19,"AP",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.01_0.01_0.25_160000_0.500000_NA",8,0.0100125,0.5
"18176",0.01,0.18,"AP",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.50_160000_0.500000_NA",8,0.125,0.5
"18177",0.01,0.17,"AP",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.10_0.10_0.50_160000_0.500000_NA",8,0.005,0.5
"18178",0.01,0.16,"AP",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.50_160000_0.500000_NA",8,0.00125,0.5
"18179",0.01,0.15,"AP",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,0.5,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.25_160000_0.500000_NA",8,0.205,0.5
"18180",0.01,0.15,"AP",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,0.169422,"0.01_AP_20000_1e-08_1e-08_0.10_0.05_0.25_160000_0.169422_NA",8,0.075625,0.17
"18181",0.01,0.13,"AP",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,0.172131,"0.01_AP_20000_1e-08_1e-08_0.10_0.20_0.25_160000_0.172131_NA",8,0.1525,0.17
"18182",0.01,0.09,"AP",20000,1e-08,1e-08,0.5,1,0.25,160000,100,0.192308,"0.01_AP_20000_1e-08_1e-08_0.50_1.00_0.25_160000_0.192308_NA",8,0.8125,0.19
"18183",0.01,0.08,"AP",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,0.169422,"0.01_AP_20000_1e-08_1e-08_0.05_0.10_0.25_160000_0.169422_NA",8,0.075625,0.17
"18184",0.01,0.07,"AP",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,0.086207,"0.01_AP_20000_1e-08_1e-08_0.50_0.20_0.25_160000_0.086207_NA",8,0.3625,0.09
