"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","sim","t_ne","selalpha","pstar"
"740",0.01,0.08,"SA",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.01_0.02_0.25_160000_NA_NA",8,0.007525,0.17
"753",0.01,0.08,"OD",20000,1e-08,1e-08,0.05,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.10_0.00_160000_NA_NA",8,0.15,0.33
"754",0.01,0.08,"OD",20000,1e-08,1e-08,0.01,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.01_0.00_160000_NA_NA",8,0.02,0.5
"760",0.01,0.08,"AP",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.50_160000_NA_NA",8,0.125,0.5
"761",0.01,0.08,"AP",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.10_0.25_160000_NA_NA",8,0.075625,0.17
"762",0.01,0.08,"AP",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.25_160000_NA_NA",8,0.0503125,0.5
"767",0.01,0.07,"SA",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.05_0.25_160000_NA_NA",8,0.038125,0.17
"768",0.01,0.07,"SA",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.01_0.01_0.25_160000_NA_NA",8,0.0050125,0.5
"781",0.01,0.07,"OD",20000,1e-08,1e-08,1,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.10_0.00_160000_NA_NA",8,1.1,0.09
"782",0.01,0.07,"OD",20000,1e-08,1e-08,0.5,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_0.20_0.00_160000_NA_NA",8,0.7,0.29
"783",0.01,0.07,"OD",20000,1e-08,1e-08,0.1,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.05_0.00_160000_NA_NA",8,0.15,0.33
"784",0.01,0.07,"OD",20000,1e-08,1e-08,0.1,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.01_0.00_160000_NA_NA",8,0.11,0.09
"785",0.01,0.07,"OD",20000,1e-08,1e-08,0.05,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.01_0.00_160000_NA_NA",8,0.06,0.17
"786",0.01,0.07,"OD",20000,1e-08,1e-08,0.02,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.02_0.00_160000_NA_NA",8,0.04,0.5
"787",0.01,0.07,"OD",20000,1e-08,1e-08,0.01,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.10_0.00_160000_NA_NA",8,0.11,0.09
"793",0.01,0.07,"AP",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.10_0.25_160000_NA_NA",8,0.1525,0.17
"794",0.01,0.07,"AP",20000,1e-08,1e-08,0.05,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.02_0.25_160000_NA_NA",8,0.035125,0.07
"795",0.01,0.0792079207920792,"OD",20000,1e-08,1e-08,0.5,0.5,0,160000,101,"0.01_OD_20000_1e-08_1e-08_0.50_0.50_0.00_160000_NA_NA",8,1,0.5
"806",0.01,0.06,"SA",20000,1e-08,1e-08,1,0.5,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_0.50_0.25_160000_NA_NA",8,0.4375,0.17
"807",0.01,0.06,"SA",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.50_0.25_160000_NA_NA",8,0.1875,0.07
