alpha power seltype Ne rec mut s1 s2 h t
0.01 0.845070422535211 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.02 0.901408450704225 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.03 0.901408450704225 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.04 0.929577464788732 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.05 0.929577464788732 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.06 0.929577464788732 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.07 0.943661971830986 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.08 0.957746478873239 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.09 0.957746478873239 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.1 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.11 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.12 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.13 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.14 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.15 0.971830985915493 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.16 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.17 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.18 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.19 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.2 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.21 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.22 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.23 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.24 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
0.25 0.985915492957746 2 1e-8 0.1 0.1 0.25 160000 NA NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.126760563380282 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.02 0.126760563380282 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.03 0.183098591549296 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.04 0.253521126760563 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.05 0.267605633802817 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.06 0.28169014084507 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.07 0.323943661971831 2 1e-8 0.1 0.1 0.25 16000 NA NA
0.08 0.366197183098592 2 1e-8 0.1 0.1 0.25 16000 NA NA
