alpha power seltype Ne rec mut s1 s2 h t
0.07 0.666666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.08 0.733333333333333 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.09 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.1 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.11 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.12 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.13 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.14 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.15 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.16 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.17 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.18 0.766666666666667 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.19 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.2 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.21 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.22 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.23 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.24 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
0.25 0.8 2 1e-8 1e-8 0.01 0.01 0.25 32000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.01 0.5 160000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.01 0.5 16000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.01 0.5 320000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.01 0.5 32000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.02 0.25 160000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 0 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.02 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.03 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.04 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.05 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.06 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.07 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.08 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.09 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.1 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.11 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.12 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.13 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.14 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.15 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.16 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.17 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.18 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.19 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.2 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.21 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.22 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.23 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.24 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
0.25 1 2 1e-8 1e-8 0.01 0.02 0.25 16000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.02 0.25 320000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.02 0.25 32000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.02 0.25 32000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.02 0.25 32000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.02 0.25 32000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.02 0.25 32000 NA
