alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.27 OD 20000 1e-8 1e-8 0.2 0.2 0 160000 100
0.01 0.27 OD 20000 1e-8 1e-8 0.1 0.02 0 160000 100
0.01 0.27 OD 20000 1e-8 1e-8 0.1 0.01 0 160000 100
0.01 0.27 OD 20000 1e-8 1e-7 0.05 0.02 0 160000 100
0.01 0.27 AP 20000 1e-8 1e-8 1 1 0.5 160000 100
0.01 0.27 AP 20000 1e-8 1e-8 0.5 1 0.25 160000 100
0.01 0.26 SA 20000 1e-8 1e-8 0.2 0.2 0.5 160000 100
0.01 0.26 OD 20000 1e-8 1e-7 0.5 0.2 0 160000 100
0.01 0.26 AP 20000 1e-8 1e-8 0.2 0.5 0.25 160000 100
0.01 0.25 SA 20000 1e-8 1e-8 0.2 0.2 0.25 160000 100
0.01 0.25 OD 2000 1e-8 1e-8 0.5 0.5 0 16000 100
0.01 0.25 OD 2000 1e-8 1e-8 0.1 1 0 16000 100
0.01 0.25 OD 2000 1e-8 1e-8 0.02 0.1 0 16000 100
0.01 0.25 OD 20000 1e-8 1e-8 1 0.5 0 320000 100
0.01 0.25 OD 20000 1e-8 1e-8 0.1 0.5 0 320000 100
0.01 0.25 AP 20000 1e-8 1e-8 1 1 0.25 160000 100
0.01 0.24 OD 2000 1e-8 1e-8 1 0.1 0 16000 100
0.01 0.24 OD 2000 1e-8 1e-8 0.5 1 0 16000 100
0.01 0.24 OD 20000 1e-8 1e-8 0.1 0.5 0 160000 100
0.01 0.24 OD 20000 1e-8 1e-8 0.05 0.02 0 160000 100
0.01 0.24 OD 20000 1e-8 1e-7 0.02 0.05 0 160000 100
0.01 0.24 AP 20000 1e-8 1e-8 1 0.5 0.25 160000 100
0.01 0.23 OD 2000 1e-8 1e-8 0.5 0.2 0 16000 100
0.01 0.23 OD 20000 1e-8 1e-8 1 0.2 0 160000 100
0.01 0.23 OD 20000 1e-8 1e-8 0.01 0.05 0 160000 100
0.01 0.23 AP 20000 1e-8 1e-8 0.2 0.2 0.5 160000 100
0.01 0.23 AP 20000 1e-8 1e-8 0.05 0.05 0.25 160000 100
0.01 0.237623762376238 OD 20000 1e-8 1e-8 1 1 0 160000 101
0.01 0.22 SA 20000 1e-8 1e-8 1 1 0.25 160000 100
0.01 0.22 SA 20000 1e-8 1e-8 0.5 0.5 0.5 160000 100
0.01 0.22 SA 20000 1e-8 1e-8 0.05 0.05 0.25 160000 100
0.01 0.22 OD 2000 1e-8 1e-8 0.2 0.5 0 16000 100
0.01 0.22 OD 20000 1e-8 1e-8 0.1 1 0 160000 100
