alpha power seltype Ne rec mut s1 s2 t
0.1 0.696969696969697 OD 2 1e-8 1e-8 0.01 0.01 32000
0.11 0.712121212121212 OD 2 1e-8 1e-8 0.01 0.01 32000
0.12 0.727272727272727 OD 2 1e-8 1e-8 0.01 0.01 32000
0.13 0.727272727272727 OD 2 1e-8 1e-8 0.01 0.01 32000
0.14 0.727272727272727 OD 2 1e-8 1e-8 0.01 0.01 32000
0.15 0.742424242424242 OD 2 1e-8 1e-8 0.01 0.01 32000
0.16 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.17 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.18 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.19 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.2 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.21 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.22 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.23 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.24 0.757575757575758 OD 2 1e-8 1e-8 0.01 0.01 32000
0.25 0.772727272727273 OD 2 1e-8 1e-8 0.01 0.01 32000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.909090909090909 OD 2 1e-8 1e-8 0.01 0.02 160000
0.02 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 160000
0.03 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 160000
0.04 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 160000
0.05 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.06 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.07 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.08 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.09 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.1 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.11 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.12 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.13 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
