alpha power seltype Ne rec mut s1 s2 h t nsim tf
0.1 0.9 OD 2000 1e-7 1e-7 0.01 0.02 0 160000 100 0.5
0.1 0.9 OD 2000 1e-7 1e-7 0.01 0.01 0 160000 100 0.5
0.1 0.9 OD 20000 1e-8 1e-7 0.5 0.2 0 320000 100 0.2857143
0.1 0.99 OD 2000 1e-8 1e-7 1 1 0 32000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 1 0.5 0 32000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 1 0.5 0 32000 100 0.3333333
0.1 0.99 OD 2000 1e-8 1e-7 0.5 0.2 0 320000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.5 0.2 0 160000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.2 1 0 320000 100 0.1666667
0.1 0.99 OD 2000 1e-8 1e-7 0.2 0.5 0 160000 100 0.2857143
0.1 0.99 OD 2000 1e-8 1e-7 0.1 0.5 0 320000 100 0.1666667
0.1 0.99 OD 2000 1e-8 1e-7 0.1 0.1 0 160000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.05 0.05 0 32000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.02 0.02 0 32000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.02 0.01 0 320000 100 0.3333333
0.1 0.99 OD 2000 1e-8 1e-7 0.01 0.02 0 320000 100 0.5
0.1 0.99 OD 2000 1e-8 1e-7 0.01 0.02 0 160000 100 0.5
0.1 0.99009900990099 OD 20000 1e-8 1e-7 1 1 0 160000 101 0.5
0.1 0.98 OD 2000 1e-8 1e-8 0.05 0.05 0 320000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 1 0.2 0 160000 100 0.1666667
0.1 0.98 OD 2000 1e-8 1e-7 0.5 1 0 32000 100 0.3333333
0.1 0.98 OD 2000 1e-8 1e-7 0.5 0.5 0 32000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.2 0.5 0 160000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.2 0.2 0 32000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.05 0.1 0 32000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.05 0.1 0 32000 100 0.3333333
0.1 0.98 OD 2000 1e-8 1e-7 0.05 0.02 0 32000 100 0.2857143
0.1 0.98 OD 2000 1e-8 1e-7 0.05 0.02 0 320000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.05 0.02 0 160000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.02 0.01 0 160000 100 0.5
0.1 0.98 OD 2000 1e-8 1e-7 0.01 0.01 0 32000 100 0.5
0.1 0.98 OD 2000 1e-7 1e-7 1 1 0 160000 100 0.5
0.1 0.97 OD 2000 1e-8 1e-7 0.5 1 0 32000 100 0.5
0.1 0.97 OD 2000 1e-8 1e-7 0.5 0.2 0 32000 100 0.2857143
0.1 0.97 OD 2000 1e-8 1e-7 0.2 0.1 0 32000 100 0.5
0.1 0.97 OD 2000 1e-8 1e-7 0.1 0.5 0 160000 100 0.1666667
0.1 0.97 OD 2000 1e-8 1e-7 0.1 0.2 0 32000 100 0.5
0.1 0.97 OD 2000 1e-8 1e-7 0.1 0.2 0 32000 100 0.3333333
0.1 0.97 OD 2000 1e-8 1e-7 0.1 0.1 0 32000 100 0.5
