alpha power seltype Ne rec mut s1 s2 t
0.01 0.806451612903226 OD 2 1e-8 1e-8 0.1 0.1 160000
0.02 0.838709677419355 OD 2 1e-8 1e-8 0.1 0.1 160000
0.03 0.903225806451613 OD 2 1e-8 1e-8 0.1 0.1 160000
0.04 0.919354838709677 OD 2 1e-8 1e-8 0.1 0.1 160000
0.05 0.919354838709677 OD 2 1e-8 1e-8 0.1 0.1 160000
0.06 0.919354838709677 OD 2 1e-8 1e-8 0.1 0.1 160000
0.07 0.919354838709677 OD 2 1e-8 1e-8 0.1 0.1 160000
0.08 0.935483870967742 OD 2 1e-8 1e-8 0.1 0.1 160000
0.09 0.935483870967742 OD 2 1e-8 1e-8 0.1 0.1 160000
0.1 0.935483870967742 OD 2 1e-8 1e-8 0.1 0.1 160000
0.11 0.935483870967742 OD 2 1e-8 1e-8 0.1 0.1 160000
0.12 0.951612903225806 OD 2 1e-8 1e-8 0.1 0.1 160000
0.13 0.951612903225806 OD 2 1e-8 1e-8 0.1 0.1 160000
0.14 0.951612903225806 OD 2 1e-8 1e-8 0.1 0.1 160000
0.15 0.951612903225806 OD 2 1e-8 1e-8 0.1 0.1 160000
0.16 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.17 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.18 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.19 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.2 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.21 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.22 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.23 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 160000
0.24 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 160000
0.25 1 OD 2 1e-8 1e-8 0.1 0.1 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.032258064516129 OD 2 1e-8 1e-8 0.1 0.1 16000
0.02 0.161290322580645 OD 2 1e-8 1e-8 0.1 0.1 16000
0.03 0.241935483870968 OD 2 1e-8 1e-8 0.1 0.1 16000
0.04 0.306451612903226 OD 2 1e-8 1e-8 0.1 0.1 16000
0.05 0.306451612903226 OD 2 1e-8 1e-8 0.1 0.1 16000
0.06 0.338709677419355 OD 2 1e-8 1e-8 0.1 0.1 16000
0.07 0.387096774193548 OD 2 1e-8 1e-8 0.1 0.1 16000
0.08 0.387096774193548 OD 2 1e-8 1e-8 0.1 0.1 16000
0.09 0.387096774193548 OD 2 1e-8 1e-8 0.1 0.1 16000
0.1 0.403225806451613 OD 2 1e-8 1e-8 0.1 0.1 16000
0.11 0.419354838709677 OD 2 1e-8 1e-8 0.1 0.1 16000
0.12 0.419354838709677 OD 2 1e-8 1e-8 0.1 0.1 16000
0.13 0.435483870967742 OD 2 1e-8 1e-8 0.1 0.1 16000
0.14 0.451612903225806 OD 2 1e-8 1e-8 0.1 0.1 16000
0.15 0.5 OD 2 1e-8 1e-8 0.1 0.1 16000
0.16 0.5 OD 2 1e-8 1e-8 0.1 0.1 16000
0.17 0.516129032258065 OD 2 1e-8 1e-8 0.1 0.1 16000
0.18 0.516129032258065 OD 2 1e-8 1e-8 0.1 0.1 16000
0.19 0.532258064516129 OD 2 1e-8 1e-8 0.1 0.1 16000
0.2 0.532258064516129 OD 2 1e-8 1e-8 0.1 0.1 16000
0.21 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 16000
0.22 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 16000
0.23 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 16000
0.24 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 16000
0.25 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.935483870967742 OD 2 1e-8 1e-8 0.1 0.1 320000
0.02 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.03 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.04 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.05 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.06 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.07 0.967741935483871 OD 2 1e-8 1e-8 0.1 0.1 320000
0.08 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.09 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.1 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.11 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.12 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.13 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.14 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.15 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.16 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.17 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.18 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.19 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.2 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.21 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.22 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.23 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.24 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
0.25 0.983870967741935 OD 2 1e-8 1e-8 0.1 0.1 320000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.435483870967742 OD 2 1e-8 1e-8 0.1 0.1 32000
0.02 0.548387096774194 OD 2 1e-8 1e-8 0.1 0.1 32000
0.03 0.596774193548387 OD 2 1e-8 1e-8 0.1 0.1 32000
0.04 0.612903225806452 OD 2 1e-8 1e-8 0.1 0.1 32000
0.05 0.629032258064516 OD 2 1e-8 1e-8 0.1 0.1 32000
0.06 0.645161290322581 OD 2 1e-8 1e-8 0.1 0.1 32000
0.07 0.661290322580645 OD 2 1e-8 1e-8 0.1 0.1 32000
0.08 0.67741935483871 OD 2 1e-8 1e-8 0.1 0.1 32000
0.09 0.693548387096774 OD 2 1e-8 1e-8 0.1 0.1 32000
0.1 0.725806451612903 OD 2 1e-8 1e-8 0.1 0.1 32000
0.11 0.725806451612903 OD 2 1e-8 1e-8 0.1 0.1 32000
0.12 0.725806451612903 OD 2 1e-8 1e-8 0.1 0.1 32000
0.13 0.725806451612903 OD 2 1e-8 1e-8 0.1 0.1 32000
0.14 0.741935483870968 OD 2 1e-8 1e-8 0.1 0.1 32000
0.15 0.758064516129032 OD 2 1e-8 1e-8 0.1 0.1 32000
0.16 0.758064516129032 OD 2 1e-8 1e-8 0.1 0.1 32000
0.17 0.774193548387097 OD 2 1e-8 1e-8 0.1 0.1 32000
0.18 0.774193548387097 OD 2 1e-8 1e-8 0.1 0.1 32000
0.19 0.774193548387097 OD 2 1e-8 1e-8 0.1 0.1 32000
0.2 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
0.21 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
0.22 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
0.23 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
0.24 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
0.25 0.790322580645161 OD 2 1e-8 1e-8 0.1 0.1 32000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.793650793650794 OD 2 1e-8 1e-8 0.1 0.2 160000
0.02 0.857142857142857 OD 2 1e-8 1e-8 0.1 0.2 160000
0.03 0.857142857142857 OD 2 1e-8 1e-8 0.1 0.2 160000
0.04 0.873015873015873 OD 2 1e-8 1e-8 0.1 0.2 160000
0.05 0.904761904761905 OD 2 1e-8 1e-8 0.1 0.2 160000
0.06 0.952380952380952 OD 2 1e-8 1e-8 0.1 0.2 160000
0.07 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 160000
0.08 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.09 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.1 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.11 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.12 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.13 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.14 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.15 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 160000
0.16 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.17 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.18 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.19 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.2 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.21 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.22 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.23 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.24 1 OD 2 1e-8 1e-8 0.1 0.2 160000
0.25 1 OD 2 1e-8 1e-8 0.1 0.2 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.0952380952380952 OD 2 1e-8 1e-8 0.1 0.2 16000
0.02 0.158730158730159 OD 2 1e-8 1e-8 0.1 0.2 16000
0.03 0.222222222222222 OD 2 1e-8 1e-8 0.1 0.2 16000
0.04 0.253968253968254 OD 2 1e-8 1e-8 0.1 0.2 16000
0.05 0.301587301587302 OD 2 1e-8 1e-8 0.1 0.2 16000
0.06 0.365079365079365 OD 2 1e-8 1e-8 0.1 0.2 16000
0.07 0.380952380952381 OD 2 1e-8 1e-8 0.1 0.2 16000
0.08 0.428571428571429 OD 2 1e-8 1e-8 0.1 0.2 16000
0.09 0.444444444444444 OD 2 1e-8 1e-8 0.1 0.2 16000
0.1 0.444444444444444 OD 2 1e-8 1e-8 0.1 0.2 16000
0.11 0.46031746031746 OD 2 1e-8 1e-8 0.1 0.2 16000
0.12 0.46031746031746 OD 2 1e-8 1e-8 0.1 0.2 16000
0.13 0.46031746031746 OD 2 1e-8 1e-8 0.1 0.2 16000
0.14 0.46031746031746 OD 2 1e-8 1e-8 0.1 0.2 16000
0.15 0.476190476190476 OD 2 1e-8 1e-8 0.1 0.2 16000
0.16 0.476190476190476 OD 2 1e-8 1e-8 0.1 0.2 16000
0.17 0.492063492063492 OD 2 1e-8 1e-8 0.1 0.2 16000
0.18 0.492063492063492 OD 2 1e-8 1e-8 0.1 0.2 16000
0.19 0.523809523809524 OD 2 1e-8 1e-8 0.1 0.2 16000
0.2 0.523809523809524 OD 2 1e-8 1e-8 0.1 0.2 16000
0.21 0.571428571428571 OD 2 1e-8 1e-8 0.1 0.2 16000
0.22 0.619047619047619 OD 2 1e-8 1e-8 0.1 0.2 16000
0.23 0.650793650793651 OD 2 1e-8 1e-8 0.1 0.2 16000
0.24 0.650793650793651 OD 2 1e-8 1e-8 0.1 0.2 16000
0.25 0.650793650793651 OD 2 1e-8 1e-8 0.1 0.2 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.888888888888889 OD 2 1e-8 1e-8 0.1 0.2 320000
0.02 0.952380952380952 OD 2 1e-8 1e-8 0.1 0.2 320000
0.03 0.952380952380952 OD 2 1e-8 1e-8 0.1 0.2 320000
0.04 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.05 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.06 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.07 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.08 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.09 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.1 0.968253968253968 OD 2 1e-8 1e-8 0.1 0.2 320000
0.11 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 320000
0.12 0.984126984126984 OD 2 1e-8 1e-8 0.1 0.2 320000
0.13 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.14 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.15 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.16 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.17 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.18 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.19 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.2 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.21 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.22 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.23 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.24 1 OD 2 1e-8 1e-8 0.1 0.2 320000
0.25 1 OD 2 1e-8 1e-8 0.1 0.2 320000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.253968253968254 OD 2 1e-8 1e-8 0.1 0.2 32000
0.02 0.301587301587302 OD 2 1e-8 1e-8 0.1 0.2 32000
0.03 0.380952380952381 OD 2 1e-8 1e-8 0.1 0.2 32000
0.04 0.396825396825397 OD 2 1e-8 1e-8 0.1 0.2 32000
0.05 0.412698412698413 OD 2 1e-8 1e-8 0.1 0.2 32000
0.06 0.428571428571429 OD 2 1e-8 1e-8 0.1 0.2 32000
0.07 0.476190476190476 OD 2 1e-8 1e-8 0.1 0.2 32000
0.08 0.476190476190476 OD 2 1e-8 1e-8 0.1 0.2 32000
0.09 0.476190476190476 OD 2 1e-8 1e-8 0.1 0.2 32000
0.1 0.523809523809524 OD 2 1e-8 1e-8 0.1 0.2 32000
0.11 0.53968253968254 OD 2 1e-8 1e-8 0.1 0.2 32000
0.12 0.555555555555556 OD 2 1e-8 1e-8 0.1 0.2 32000
0.13 0.571428571428571 OD 2 1e-8 1e-8 0.1 0.2 32000
0.14 0.571428571428571 OD 2 1e-8 1e-8 0.1 0.2 32000
0.15 0.587301587301587 OD 2 1e-8 1e-8 0.1 0.2 32000
0.16 0.603174603174603 OD 2 1e-8 1e-8 0.1 0.2 32000
0.17 0.634920634920635 OD 2 1e-8 1e-8 0.1 0.2 32000
0.18 0.650793650793651 OD 2 1e-8 1e-8 0.1 0.2 32000
0.19 0.650793650793651 OD 2 1e-8 1e-8 0.1 0.2 32000
0.2 0.666666666666667 OD 2 1e-8 1e-8 0.1 0.2 32000
0.21 0.666666666666667 OD 2 1e-8 1e-8 0.1 0.2 32000
0.22 0.666666666666667 OD 2 1e-8 1e-8 0.1 0.2 32000
0.23 0.682539682539683 OD 2 1e-8 1e-8 0.1 0.2 32000
0.24 0.682539682539683 OD 2 1e-8 1e-8 0.1 0.2 32000
0.25 0.714285714285714 OD 2 1e-8 1e-8 0.1 0.2 32000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.852459016393443 OD 2 1e-8 1e-8 0.1 0.5 160000
0.02 0.901639344262295 OD 2 1e-8 1e-8 0.1 0.5 160000
0.03 0.934426229508197 OD 2 1e-8 1e-8 0.1 0.5 160000
0.04 0.967213114754098 OD 2 1e-8 1e-8 0.1 0.5 160000
0.05 0.967213114754098 OD 2 1e-8 1e-8 0.1 0.5 160000
0.06 0.983606557377049 OD 2 1e-8 1e-8 0.1 0.5 160000
