alpha power seltype Ne rec mut s1 s2 h t
0.01 0.774193548387097 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.02 0.82258064516129 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.03 0.838709677419355 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.04 0.870967741935484 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.05 0.887096774193548 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.06 0.887096774193548 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.07 0.903225806451613 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.08 0.919354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.09 0.935483870967742 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.1 0.935483870967742 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.11 0.935483870967742 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.12 0.935483870967742 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.13 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.14 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.15 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.16 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.17 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.18 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.19 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.2 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.21 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.22 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.23 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.24 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
0.25 1 AP 2 1e-8 1e-8 0.1 0.1 0.25 160000
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.0806451612903226 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.02 0.193548387096774 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.03 0.258064516129032 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.04 0.274193548387097 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.05 0.290322580645161 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.06 0.354838709677419 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.07 0.419354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.08 0.5 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.09 0.5 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.1 0.532258064516129 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.11 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.12 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.13 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.14 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.15 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.16 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.17 0.548387096774194 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.18 0.580645161290323 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.19 0.580645161290323 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.2 0.580645161290323 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.21 0.596774193548387 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.22 0.629032258064516 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.23 0.629032258064516 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.24 0.645161290322581 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
0.25 0.67741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 16000
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.903225806451613 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.02 0.919354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.03 0.919354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.04 0.919354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.05 0.919354838709677 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.06 0.935483870967742 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.07 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.08 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.09 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.1 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.11 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.12 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.13 0.951612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.14 0.967741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.15 0.967741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.16 0.967741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.17 0.967741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.18 0.967741935483871 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.19 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.2 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.21 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.22 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.23 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.24 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
0.25 0.983870967741935 AP 2 1e-8 1e-8 0.1 0.1 0.25 320000
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.451612903225806 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.02 0.564516129032258 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.03 0.661290322580645 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.04 0.661290322580645 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.05 0.661290322580645 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.06 0.661290322580645 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
0.07 0.725806451612903 AP 2 1e-8 1e-8 0.1 0.1 0.25 32000
